x,y,gridcoords
771000.000000000000000,5964000.000000000000000,771000-5964000
771000.000000000000000,5964500.000000000000000,771000-5964500
771000.000000000000000,5965500.000000000000000,771000-5965500
771000.000000000000000,5966000.000000000000000,771000-5966000
771000.000000000000000,5966500.000000000000000,771000-5966500
771000.000000000000000,5967500.000000000000000,771000-5967500
771000.000000000000000,5946000.000000000000000,771000-5946000
771000.000000000000000,5946500.000000000000000,771000-5946500
771000.000000000000000,5947000.000000000000000,771000-5947000
771000.000000000000000,5947500.000000000000000,771000-5947500
771000.000000000000000,5948000.000000000000000,771000-5948000
771000.000000000000000,5948500.000000000000000,771000-5948500
771000.000000000000000,5959500.000000000000000,771000-5959500
771000.000000000000000,5960000.000000000000000,771000-5960000
771000.000000000000000,5960500.000000000000000,771000-5960500
771000.000000000000000,5961000.000000000000000,771000-5961000
771000.000000000000000,5961500.000000000000000,771000-5961500
771000.000000000000000,5962000.000000000000000,771000-5962000
771000.000000000000000,5962500.000000000000000,771000-5962500
771000.000000000000000,5963000.000000000000000,771000-5963000
771000.000000000000000,5963500.000000000000000,771000-5963500
771000.000000000000000,5964000.000000000000000,771000-5964000
771000.000000000000000,5964500.000000000000000,771000-5964500
771000.000000000000000,5965500.000000000000000,771000-5965500
771000.000000000000000,5966000.000000000000000,771000-5966000
771000.000000000000000,5966500.000000000000000,771000-5966500
771000.000000000000000,5967000.000000000000000,771000-5967000
771000.000000000000000,5967500.000000000000000,771000-5967500
771000.000000000000000,5968000.000000000000000,771000-5968000
771000.000000000000000,5969500.000000000000000,771000-5969500
771000.000000000000000,5970000.000000000000000,771000-5970000
771500.000000000000000,5963500.000000000000000,771500-5963500
771500.000000000000000,5964500.000000000000000,771500-5964500
771500.000000000000000,5965000.000000000000000,771500-5965000
771500.000000000000000,5965500.000000000000000,771500-5965500
771500.000000000000000,5966000.000000000000000,771500-5966000
771500.000000000000000,5966500.000000000000000,771500-5966500
771500.000000000000000,5967000.000000000000000,771500-5967000
771500.000000000000000,5967500.000000000000000,771500-5967500
771500.000000000000000,5956000.000000000000000,771500-5956000
771500.000000000000000,5957000.000000000000000,771500-5957000
771500.000000000000000,5959000.000000000000000,771500-5959000
771500.000000000000000,5959500.000000000000000,771500-5959500
771500.000000000000000,5960000.000000000000000,771500-5960000
771500.000000000000000,5960500.000000000000000,771500-5960500
771500.000000000000000,5961500.000000000000000,771500-5961500
771500.000000000000000,5962000.000000000000000,771500-5962000
771500.000000000000000,5962500.000000000000000,771500-5962500
771500.000000000000000,5963000.000000000000000,771500-5963000
771500.000000000000000,5963500.000000000000000,771500-5963500
771500.000000000000000,5964000.000000000000000,771500-5964000
771500.000000000000000,5964500.000000000000000,771500-5964500
771500.000000000000000,5965000.000000000000000,771500-5965000
771500.000000000000000,5965500.000000000000000,771500-5965500
771500.000000000000000,5966000.000000000000000,771500-5966000
771500.000000000000000,5966500.000000000000000,771500-5966500
771500.000000000000000,5967000.000000000000000,771500-5967000
771500.000000000000000,5967500.000000000000000,771500-5967500
771500.000000000000000,5969000.000000000000000,771500-5969000
771500.000000000000000,5969500.000000000000000,771500-5969500
771500.000000000000000,5970000.000000000000000,771500-5970000
772000.000000000000000,5962500.000000000000000,772000-5962500
772000.000000000000000,5963500.000000000000000,772000-5963500
772000.000000000000000,5965000.000000000000000,772000-5965000
772000.000000000000000,5965500.000000000000000,772000-5965500
772000.000000000000000,5966000.000000000000000,772000-5966000
772000.000000000000000,5966500.000000000000000,772000-5966500
772000.000000000000000,5967000.000000000000000,772000-5967000
772000.000000000000000,5959000.000000000000000,772000-5959000
772000.000000000000000,5959500.000000000000000,772000-5959500
772000.000000000000000,5960000.000000000000000,772000-5960000
772000.000000000000000,5960500.000000000000000,772000-5960500
772000.000000000000000,5961500.000000000000000,772000-5961500
772000.000000000000000,5962000.000000000000000,772000-5962000
772000.000000000000000,5962500.000000000000000,772000-5962500
772000.000000000000000,5963000.000000000000000,772000-5963000
772000.000000000000000,5963500.000000000000000,772000-5963500
772000.000000000000000,5964000.000000000000000,772000-5964000
772000.000000000000000,5964500.000000000000000,772000-5964500
772000.000000000000000,5965000.000000000000000,772000-5965000
772000.000000000000000,5965500.000000000000000,772000-5965500
772000.000000000000000,5966000.000000000000000,772000-5966000
772000.000000000000000,5966500.000000000000000,772000-5966500
